T: 0.500000   E_avg: 121.410800   E_exp: -96.585980   Diff: 217.996780   M^2_avg: 5242.785200   M^2_exp: 5459.815003
T: 0.510000   E_avg: -93.179300   E_exp: -96.262886   Diff: 3.083586   M^2_avg: 5118.870000   M^2_exp: 5047.956634
T: 0.520000   E_avg: -92.632100   E_exp: -95.934537   Diff: 3.302437   M^2_avg: 4528.526400   M^2_exp: 4681.266782
T: 0.530000   E_avg: -92.465300   E_exp: -95.601200   Diff: 3.135900   M^2_avg: 4555.561200   M^2_exp: 4353.585736
T: 0.540000   E_avg: -91.933300   E_exp: -95.262921   Diff: 3.329621   M^2_avg: 3997.088000   M^2_exp: 4059.738695
T: 0.550000   E_avg: -91.823700   E_exp: -94.919608   Diff: 3.095908   M^2_avg: 4207.607200   M^2_exp: 3795.357250
T: 0.560000   E_avg: -91.250900   E_exp: -94.571105   Diff: 3.320205   M^2_avg: 3468.126800   M^2_exp: 3556.736740
T: 0.570000   E_avg: -90.932500   E_exp: -94.217240   Diff: 3.284740   M^2_avg: 3389.934000   M^2_exp: 3340.721618
T: 0.580000   E_avg: -90.536500   E_exp: -93.857870   Diff: 3.321370   M^2_avg: 3163.232000   M^2_exp: 3144.612808
T: 0.590000   E_avg: -90.301300   E_exp: -93.492901   Diff: 3.191601   M^2_avg: 2991.392000   M^2_exp: 2966.092457
T: 0.600000   E_avg: -89.848500   E_exp: -93.122303   Diff: 3.273803   M^2_avg: 2856.715600   M^2_exp: 2803.162489
T: 0.610000   E_avg: -89.305300   E_exp: -92.746107   Diff: 3.440807   M^2_avg: 2440.875600   M^2_exp: 2654.094207
T: 0.620000   E_avg: -89.091300   E_exp: -92.364407   Diff: 3.273107   M^2_avg: 2577.539600   M^2_exp: 2517.386748
T: 0.630000   E_avg: -88.645300   E_exp: -91.977350   Diff: 3.332050   M^2_avg: 2423.578000   M^2_exp: 2391.732698
T: 0.640000   E_avg: -88.253700   E_exp: -91.585127   Diff: 3.331427   M^2_avg: 2334.577600   M^2_exp: 2275.989509
T: 0.650000   E_avg: -87.836100   E_exp: -91.187967   Diff: 3.351867   M^2_avg: 2113.936800   M^2_exp: 2169.155636
T: 0.660000   E_avg: -87.399700   E_exp: -90.786124   Diff: 3.386424   M^2_avg: 1989.014800   M^2_exp: 2070.350543
T: 0.670000   E_avg: -87.099700   E_exp: -90.379875   Diff: 3.280175   M^2_avg: 1953.959200   M^2_exp: 1978.797890
T: 0.680000   E_avg: -86.725700   E_exp: -89.969504   Diff: 3.243804   M^2_avg: 2054.373600   M^2_exp: 1893.811334
T: 0.690000   E_avg: -86.269300   E_exp: -89.555307   Diff: 3.286007   M^2_avg: 1791.814800   M^2_exp: 1814.782511
T: 0.700000   E_avg: -85.884100   E_exp: -89.137580   Diff: 3.253480   M^2_avg: 1791.740800   M^2_exp: 1741.170806
T: 0.710000   E_avg: -85.477700   E_exp: -88.716620   Diff: 3.238920   M^2_avg: 1688.871600   M^2_exp: 1672.494652
T: 0.720000   E_avg: -84.931300   E_exp: -88.292717   Diff: 3.361417   M^2_avg: 1553.315600   M^2_exp: 1608.324067
T: 0.730000   E_avg: -84.515700   E_exp: -87.866160   Diff: 3.350460   M^2_avg: 1608.108400   M^2_exp: 1548.274267
T: 0.740000   E_avg: -84.067700   E_exp: -87.437227   Diff: 3.369527   M^2_avg: 1412.645600   M^2_exp: 1492.000161
T: 0.750000   E_avg: -83.711300   E_exp: -87.006191   Diff: 3.294891   M^2_avg: 1414.322400   M^2_exp: 1439.191610
T: 0.760000   E_avg: -83.263700   E_exp: -86.573316   Diff: 3.309616   M^2_avg: 1358.015600   M^2_exp: 1389.569316
T: 0.770000   E_avg: -82.838900   E_exp: -86.138856   Diff: 3.299956   M^2_avg: 1370.705600   M^2_exp: 1342.881266
T: 0.780000   E_avg: -82.505300   E_exp: -85.703055   Diff: 3.197755   M^2_avg: 1323.193600   M^2_exp: 1298.899635
T: 0.790000   E_avg: -81.909700   E_exp: -85.266150   Diff: 3.356450   M^2_avg: 1214.806400   M^2_exp: 1257.418081
T: 0.800000   E_avg: -81.508500   E_exp: -84.828366   Diff: 3.319866   M^2_avg: 1227.694000   M^2_exp: 1218.249396
T: 0.810000   E_avg: -80.994500   E_exp: -84.389922   Diff: 3.395422   M^2_avg: 1181.264800   M^2_exp: 1181.223434
T: 0.820000   E_avg: -80.527300   E_exp: -83.951023   Diff: 3.423723   M^2_avg: 1093.468400   M^2_exp: 1146.185299
T: 0.830000   E_avg: -80.258100   E_exp: -83.511869   Diff: 3.253769   M^2_avg: 1128.070000   M^2_exp: 1112.993755
T: 0.840000   E_avg: -79.706900   E_exp: -83.072650   Diff: 3.365750   M^2_avg: 1031.688000   M^2_exp: 1081.519815
T: 0.850000   E_avg: -79.324900   E_exp: -82.633545   Diff: 3.308645   M^2_avg: 1026.796400   M^2_exp: 1051.645503
T: 0.860000   E_avg: -79.030900   E_exp: -82.194727   Diff: 3.163827   M^2_avg: 984.560000   M^2_exp: 1023.262756
T: 0.870000   E_avg: -78.551700   E_exp: -81.756360   Diff: 3.204660   M^2_avg: 1032.349600   M^2_exp: 996.272446
T: 0.880000   E_avg: -78.062100   E_exp: -81.318599   Diff: 3.256499   M^2_avg: 954.106800   M^2_exp: 970.583521
T: 0.890000   E_avg: -77.646100   E_exp: -80.881592   Diff: 3.235492   M^2_avg: 912.707200   M^2_exp: 946.112229
T: 0.900000   E_avg: -77.198900   E_exp: -80.445480   Diff: 3.246580   M^2_avg: 949.004000   M^2_exp: 922.781435
T: 0.910000   E_avg: -76.680100   E_exp: -80.010395   Diff: 3.330295   M^2_avg: 928.947200   M^2_exp: 900.520009
T: 0.920000   E_avg: -76.259300   E_exp: -79.576462   Diff: 3.317162   M^2_avg: 872.558400   M^2_exp: 879.262273
T: 0.930000   E_avg: -75.845300   E_exp: -79.143801   Diff: 3.298501   M^2_avg: 868.624000   M^2_exp: 858.947515
T: 0.940000   E_avg: -75.329700   E_exp: -78.712524   Diff: 3.382824   M^2_avg: 838.122000   M^2_exp: 839.519547
T: 0.950000   E_avg: -75.013700   E_exp: -78.282736   Diff: 3.269036   M^2_avg: 816.092400   M^2_exp: 820.926306
T: 0.960000   E_avg: -74.609300   E_exp: -77.854536   Diff: 3.245236   M^2_avg: 798.707600   M^2_exp: 803.119500
T: 0.970000   E_avg: -74.132500   E_exp: -77.428020   Diff: 3.295520   M^2_avg: 790.921200   M^2_exp: 786.054286
T: 0.980000   E_avg: -73.738100   E_exp: -77.003273   Diff: 3.265173   M^2_avg: 760.190400   M^2_exp: 769.688981
T: 0.990000   E_avg: -73.271300   E_exp: -76.580379   Diff: 3.309079   M^2_avg: 737.995600   M^2_exp: 753.984798
T: 1.000000   E_avg: -72.902100   E_exp: -76.159416   Diff: 3.257316   M^2_avg: 724.014800   M^2_exp: 738.905610
T: 1.010000   E_avg: -72.438900   E_exp: -75.740454   Diff: 3.301554   M^2_avg: 722.034400   M^2_exp: 724.417733
T: 1.020000   E_avg: -71.974500   E_exp: -75.323562   Diff: 3.349062   M^2_avg: 713.710800   M^2_exp: 710.489735
T: 1.030000   E_avg: -71.662900   E_exp: -74.908801   Diff: 3.245901   M^2_avg: 693.861200   M^2_exp: 697.092253
T: 1.040000   E_avg: -71.172100   E_exp: -74.496232   Diff: 3.324132   M^2_avg: 700.062000   M^2_exp: 684.197836
T: 1.050000   E_avg: -70.726100   E_exp: -74.085906   Diff: 3.359806   M^2_avg: 690.104000   M^2_exp: 671.780796
T: 1.060000   E_avg: -70.376100   E_exp: -73.677875   Diff: 3.301775   M^2_avg: 647.732800   M^2_exp: 659.817076
T: 1.070000   E_avg: -69.935300   E_exp: -73.272185   Diff: 3.336885   M^2_avg: 635.482400   M^2_exp: 648.284125
T: 1.080000   E_avg: -69.581300   E_exp: -72.868877   Diff: 3.287577   M^2_avg: 643.235600   M^2_exp: 637.160788
T: 1.090000   E_avg: -69.141700   E_exp: -72.467991   Diff: 3.326291   M^2_avg: 613.138000   M^2_exp: 626.427203
T: 1.100000   E_avg: -68.781700   E_exp: -72.069563   Diff: 3.287863   M^2_avg: 616.342400   M^2_exp: 616.064708
T: 1.110000   E_avg: -68.421700   E_exp: -71.673625   Diff: 3.251925   M^2_avg: 596.269600   M^2_exp: 606.055756
T: 1.120000   E_avg: -67.972500   E_exp: -71.280206   Diff: 3.307706   M^2_avg: 607.959200   M^2_exp: 596.383831
T: 1.130000   E_avg: -67.513300   E_exp: -70.889333   Diff: 3.376033   M^2_avg: 580.240000   M^2_exp: 587.033384
T: 1.140000   E_avg: -67.147300   E_exp: -70.501029   Diff: 3.353729   M^2_avg: 563.789600   M^2_exp: 577.989759
T: 1.150000   E_avg: -66.893300   E_exp: -70.115316   Diff: 3.222016   M^2_avg: 565.924400   M^2_exp: 569.239136
T: 1.160000   E_avg: -66.525700   E_exp: -69.732212   Diff: 3.206512   M^2_avg: 565.812800   M^2_exp: 560.768473
T: 1.170000   E_avg: -66.181700   E_exp: -69.351733   Diff: 3.170033   M^2_avg: 545.871600   M^2_exp: 552.565454
T: 1.180000   E_avg: -65.533700   E_exp: -68.973894   Diff: 3.440194   M^2_avg: 528.694000   M^2_exp: 544.618440
T: 1.190000   E_avg: -65.347700   E_exp: -68.598706   Diff: 3.251006   M^2_avg: 530.429600   M^2_exp: 536.916428
T: 1.200000   E_avg: -64.920100   E_exp: -68.226179   Diff: 3.306079   M^2_avg: 526.375200   M^2_exp: 529.449005
T: 1.210000   E_avg: -64.491300   E_exp: -67.856321   Diff: 3.365021   M^2_avg: 517.734800   M^2_exp: 522.206314
T: 1.220000   E_avg: -64.196900   E_exp: -67.489138   Diff: 3.292238   M^2_avg: 509.444800   M^2_exp: 515.179018
T: 1.230000   E_avg: -63.667700   E_exp: -67.124635   Diff: 3.456935   M^2_avg: 514.565200   M^2_exp: 508.358266
T: 1.240000   E_avg: -63.609300   E_exp: -66.762814   Diff: 3.153514   M^2_avg: 509.178000   M^2_exp: 501.735662
T: 1.250000   E_avg: -63.192900   E_exp: -66.403677   Diff: 3.210777   M^2_avg: 496.789200   M^2_exp: 495.303242
T: 1.260000   E_avg: -62.669700   E_exp: -66.047223   Diff: 3.377523   M^2_avg: 481.248000   M^2_exp: 489.053443
T: 1.270000   E_avg: -62.325700   E_exp: -65.693452   Diff: 3.367752   M^2_avg: 476.634400   M^2_exp: 482.979078
T: 1.280000   E_avg: -61.957300   E_exp: -65.342359   Diff: 3.385059   M^2_avg: 472.941600   M^2_exp: 477.073318
T: 1.290000   E_avg: -61.673700   E_exp: -64.993941   Diff: 3.320241   M^2_avg: 468.063600   M^2_exp: 471.329669
